SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0875, 15, 0.03180219, -0.23449594, -0.97013128, -0.13843672, -0.14707863, 0.11715916, -14.29148579, 3.62710810, -46.69691849, 13.26675320, 1.83147109, 27.77272034, -0.96459484, 0.10831541, 0.04313084, 0.23656759, -0.00257747, -0.00049166, -0.00143588, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 16, 0.03193109, -0.23558816, -0.97038144, -0.21125467, -0.00955870, 0.18743965, -14.29148579, 3.62710810, -46.69691849, 13.26643181, 1.83199608, 27.77302742, -0.96459460, 0.10831148, 0.04313488, 0.23656976, -0.00269792, 0.00060467, -0.00118078, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0925, 17, 0.03133544, -0.23679982, -0.97112966, -0.14064108, 0.06006168, 0.18862566, -14.29148579, 3.62710810, -46.69691849, 13.26655579, 1.83255303, 27.77345657, -0.96459365, 0.10831120, 0.04314022, 0.23657276, -0.00209469, 0.00180993, -0.00042303, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0950, 18, 0.03024346, -0.23545891, -0.97186470, -0.06747869, -0.14675169, 0.11790633, -14.29148579, 3.62710810, -46.69691849, 13.26650047, 1.83242059, 27.77365494, -0.96459329, 0.10831094, 0.04313919, 0.23657459, -0.00100706, 0.00046569, 0.00030695, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0975, 19, 0.03034865, -0.23583415, -0.97052872, -0.06851214, 0.06112866, 0.11922286, -14.29148579, 3.62710810, -46.69691849, 13.26674843, 1.83293438, 27.77405739, -0.96459228, 0.10831179, 0.04314440, 0.23657738, -0.00109953, 0.00084451, -0.00102593, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 20, 0.03109191, -0.23399761, -0.97184008, -0.06747869, -0.14675169, 0.11790633, -15.16492653, 4.07670736, -47.04037476, 13.26620865, 1.83359993, 27.77534676, -0.96459019, 0.10830536, 0.04315010, 0.23658773, -0.00183486, -0.00099031, 0.00027098, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1125, 21, 0.03035802, -0.23521930, -0.97137469, 0.00347935, -0.14642474, 0.11865351, -15.89279079, 3.86689472, -47.21210480, 13.26630974, 1.83357584, 27.77542305, -0.96458989, 0.10830624, 0.04315018, 0.23658836, -0.00110005, 0.00023229, -0.00018492, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1150, 22, 0.03108585, -0.23558532, -0.97100198, 0.00313487, -0.07713127, 0.11909235, -15.89279079, 3.86689472, -47.21210480, 13.26665020, 1.83421099, 27.77533531, -0.96458983, 0.10830780, 0.04315614, 0.23658687, -0.00181577, 0.00059480, -0.00055582, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1175, 23, 0.03181329, -0.23631711, -0.97051066, 0.00161947, -0.00857787, 0.18968117, -15.89279079, 3.86689472, -47.21210480, 13.26738358, 1.83530915, 27.77530861, -0.96458936, 0.10831169, 0.04316686, 0.23658526, -0.00252269, 0.00131707, -0.00104151, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 24, 0.03097820, -0.23496783, -0.97221440, 0.00230843, -0.14716476, 0.18880349, -15.89279079, 3.86689472, -47.21210480, 13.26732635, 1.83532965, 27.77512741, -0.96458977, 0.10831124, 0.04316675, 0.23658372, -0.00169200, -0.00004111, 0.00065656, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1225, 25, 0.03169456, -0.23436587, -0.97122610, 0.00196395, -0.07787130, 0.18924233, -15.89279079, 3.86689472, -47.21210480, 13.26712227, 1.83592021, 27.77479362, -0.96459067, 0.10830840, 0.04317098, 0.23658040, -0.00239530, -0.00063373, -0.00033771, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1250, 26, 0.02926891, -0.23424225, -0.97223419, -0.06899410, -0.07819824, 0.18849516, -15.48518562, 4.10668135, -46.58243561, 13.26669598, 1.83561480, 27.77451515, -0.96459168, 0.10830556, 0.04316726, 0.23657852, 0.00002220, -0.00075602, 0.00067460, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1275, 27, 0.03020946, -0.23267660, -0.97001886, -0.06864961, -0.14749171, 0.18805632, -15.48518562, 4.10668135, -46.58243561, 13.26606274, 1.83540177, 27.77423096, -0.96459281, 0.10830078, 0.04316390, 0.23657659, -0.00091583, -0.00229806, -0.00155497, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 28, 0.02998523, -0.23266548, -0.97148108, -0.13809223, -0.21637207, 0.11672031, -15.48518562, 4.10668135, -46.58243561, 13.26524734, 1.83497322, 27.77377129, -0.96459448, 0.10829499, 0.04315817, 0.23657346, -0.00070318, -0.00230386, -0.00009578, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1325, 29, 0.03011702, -0.23460893, -0.97173810, -0.13809223, -0.21637207, 0.11672031, -15.48518562, 4.10668135, -46.58243561, 13.26481628, 1.83455908, 27.77331924, -0.96459579, 0.10829240, 0.04315338, 0.23657024, -0.00084296, -0.00035470, 0.00017022, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1350, 30, 0.03010067, -0.23413128, -0.97064018, -0.06816766, -0.00816478, 0.11878401, -15.48518562, 4.10668135, -46.58243561, 13.26434422, 1.83490837, 27.77277756, -0.96459740, 0.10828791, 0.04315483, 0.23656550, -0.00081742, -0.00081795, -0.00093212, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1375, 31, 0.02936796, -0.23425560, -0.97053063, -0.06665226, -0.07671818, 0.04819518, -15.10669613, 3.47724032, -46.52518845, 13.26395988, 1.83476186, 27.77195168, -0.96459943, 0.10828527, 0.04315202, 0.23655884, -0.00008694, -0.00068642, -0.00104047, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 32, 0.03094589, -0.23364674, -0.97013724, -0.06899410, -0.07819824, 0.18849516, -15.10669613, 3.47724032, -46.52518845, 13.26350689, 1.83497620, 27.77154732, -0.96460068, 0.10828117, 0.04315251, 0.23655538, -0.00166002, -0.00128534, -0.00144349, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1425, 33, 0.02923542, -0.23401852, -0.96980125, 0.00196395, -0.07787130, 0.18924233, -15.10669613, 3.47724032, -46.52518845, 13.26335049, 1.83468461, 27.77102852, -0.96460193, 0.10828067, 0.04314924, 0.23655136, 0.00004633, -0.00090893, -0.00177340, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1450, 34, 0.03008389, -0.23304464, -0.96965897, 0.07443740, -0.14609781, 0.11940068, -15.10669613, 3.47724032, -46.52518845, 13.26312733, 1.83452749, 27.77030563, -0.96460366, 0.10827938, 0.04314678, 0.23654553, -0.00080447, -0.00187821, -0.00192470, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1475, 35, 0.02862254, -0.23304713, -0.96980256, 0.00196395, -0.07787130, 0.18924233, -15.10669613, 3.47724032, -46.52518845, 13.26262856, 1.83403218, 27.76966667, -0.96460533, 0.10827646, 0.04314097, 0.23654082, 0.00064777, -0.00186813, -0.00177917, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1725, 36, 0.02740881, -0.23609307, -0.96948075, 0.00161947, -0.00857787, 0.18968117, -14.84466457, 3.74700141, -47.04037476, 13.26487732, 1.82825422, 27.76437378, -0.96461350, 0.10830949, 0.04309202, 0.23650128, 0.00176161, 0.00114062, -0.00207411, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1750, 37, 0.02790749, -0.23596349, -0.97032332, 0.07374844, -0.00751089, 0.12027837, -14.84466457, 3.74700141, -47.04037476, 13.26570129, 1.82755244, 27.76395988, -0.96461350, 0.10831805, 0.04308743, 0.23649821, 0.00124833, 0.00099214, -0.00123072, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1775, 38, 0.02753681, -0.23499250, -0.97019935, 0.00396131, -0.00709780, 0.04938120, -14.78643322, 3.08758187, -46.63967514, 13.26628494, 1.82512510, 27.76309013, -0.96461451, 0.10832837, 0.04306740, 0.23649311, 0.00157702, 0.00001167, -0.00135832, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 39, 0.02620387, -0.23401600, -0.97106254, 0.00244591, 0.06145560, 0.11997003, -14.78643322, 3.08758187, -46.63967514, 13.26590443, 1.82370591, 27.76247978, -0.96461594, 0.10832838, 0.04305410, 0.23648956, 0.00288278, -0.00096355, -0.00049928, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1825, 40, 0.02731586, -0.23546684, -0.97178715, 0.00244591, 0.06145560, 0.11997003, -14.78643322, 3.08758187, -46.63967514, 13.26616573, 1.82284987, 27.76180267, -0.96461701, 0.10833262, 0.04304680, 0.23648462, 0.00175377, 0.00047856, 0.00023117, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1850, 41, 0.02788094, -0.23585747, -0.96837753, 0.07409292, -0.07680432, 0.11983952, -14.78643322, 3.08758187, -46.63967514, 13.26694393, 1.82217896, 27.76110077, -0.96461761, 0.10834084, 0.04304210, 0.23647910, 0.00118661, 0.00087563, -0.00317496, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1875, 42, 0.02727302, -0.23634537, -0.96839064, 0.07374844, -0.00751089, 0.12027837, -14.78643322, 3.08758187, -46.63967514, 13.26814556, 1.82124853, 27.76029587, -0.96461809, 0.10835321, 0.04303599, 0.23647280, 0.00177826, 0.00134293, -0.00315307, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 43, 0.02704062, -0.23633911, -0.96924508, 0.00430579, -0.07639124, 0.04894236, -15.28138542, 4.13665581, -45.78102875, 13.26953411, 1.81958139, 27.75923157, -0.96461880, 0.10836878, 0.04302383, 0.23646504, 0.00197915, 0.00130791, -0.00229331, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1925, 44, 0.02766817, -0.23632695, -0.97057301, 0.00513223, -0.00635777, -0.02076879, -15.28138542, 4.13665581, -45.78102875, 13.27341652, 1.81609750, 27.75801849, -0.96461725, 0.10840923, 0.04300140, 0.23645687, 0.00128709, 0.00122170, -0.00095355, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1950, 45, 0.02706631, -0.23522711, -0.97142416, 0.00361683, 0.06219563, 0.04982004, -15.28138542, 4.13665581, -45.78102875, 13.27357960, 1.81471956, 27.75709915, -0.96461886, 0.10841384, 0.04298928, 0.23645048, 0.00186254, 0.00011398, -0.00010723, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1975, 46, 0.02766287, -0.23669565, -0.97008973, 0.00279039, -0.00783784, 0.11953119, -15.28138542, 4.13665581, -45.78102875, 13.27495670, 1.81372046, 27.75639725, -0.96461886, 0.10842778, 0.04298305, 0.23644505, 0.00125227, 0.00156675, -0.00142981, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 47, 0.02802736, -0.23584257, -0.97019887, -0.13843672, -0.14707863, 0.11715916, -15.28138542, 4.13665581, -45.78102875, 13.27485847, 1.81308806, 27.75588799, -0.96461999, 0.10842848, 0.04297705, 0.23644146, 0.00087649, 0.00071461, -0.00132743, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2025, 48, 0.02703940, -0.23646168, -0.96912456, 0.00465027, -0.14568470, 0.04850351, -15.68899059, 3.80694604, -46.09586716, 13.27577114, 1.81183720, 27.75490761, -0.96462095, 0.10843914, 0.04296748, 0.23643413, 0.00184562, 0.00132429, -0.00239235, 0.00000000, 0.00000000, 0.00000000, 0.00000000
